Spotify ID,Track Name,Artist(s),Album,Release Date,Spotify URL,movie_title,language,year
5bBsWTPchnSLap0QXpn4ST,Kala Anuko,"Hariharan, Mahalakshmi Iyer",Aazaad,2004-07-17,https://open.spotify.com/track/5bBsWTPchnSLap0QXpn4ST,Azaad,telugu,2000
1KfXa25fPiYpVt5pAWmq3P,Koyila Koyila Koyila,Abhijeet,Aazaad,2004-07-17,https://open.spotify.com/track/1KfXa25fPiYpVt5pAWmq3P,Azaad,telugu,2000
6ds8c3NhV8yZs6Hl1sKKcK,Chemma Chekka Chemma Chekka,"S. P. Balasubrahmanyam, K. S. Chithra, Harini",Aazaad,2004-07-17,https://open.spotify.com/track/6ds8c3NhV8yZs6Hl1sKKcK,Azaad,telugu,2000
0eB5PHGiLqsZol8h3qZmAG,So So So Are Sonare,"Udit Narayan, Vasundhara Das",Aazaad,2004-07-17,https://open.spotify.com/track/0eB5PHGiLqsZol8h3qZmAG,Azaad,telugu,2000
2t3cTFrBz73i9hM9vFHz59,Sudigaalilo,"Hariharan, K. S. Chithra",Aazaad,2004-07-17,https://open.spotify.com/track/2t3cTFrBz73i9hM9vFHz59,Azaad,telugu,2000
5zdLUsktUEVEGCuzrdXMaQ,Hay Hay Nayaka Athamma Kodaka,"Sukhwinder Singh, K. S. Chithra",Aazaad,2004-07-17,https://open.spotify.com/track/5zdLUsktUEVEGCuzrdXMaQ,Azaad,telugu,2000
0iKtQHMwA3k3NeKFWo17eN,Bangala Kathamulo,"Ramana Gogula, Sunitha",Badri,2000-04-20,https://open.spotify.com/track/0iKtQHMwA3k3NeKFWo17eN,Badri,telugu,2000
14EQIE6878pGC6kgdIzsEK,Yey Chikittha,"Ramana Gogula, Sunitha",Badri,2000-04-20,https://open.spotify.com/track/14EQIE6878pGC6kgdIzsEK,Badri,telugu,2000
2EFCBNqHOIoo623iQoyZM8,I Am An Indian,Ramana Gogula,Badri,2000-04-20,https://open.spotify.com/track/2EFCBNqHOIoo623iQoyZM8,Badri,telugu,2000
5HqZsDAqg7qpxfEU3h8asD,Varamanti Manase,Ramana Gogula,Badri,2000-04-20,https://open.spotify.com/track/5HqZsDAqg7qpxfEU3h8asD,Badri,telugu,2000
2U2TAonLFkU1A7gIFzuFkR,Vevela Mainala Ganam,"Ramana Gogula, Sunitha",Badri,2000-04-20,https://open.spotify.com/track/2U2TAonLFkU1A7gIFzuFkR,Badri,telugu,2000
3IX65zGNhnBuyquJ9dhIDQ,Challipidugullo,"Ramana Gogula, Sunitha",Badri,2000-04-20,https://open.spotify.com/track/3IX65zGNhnBuyquJ9dhIDQ,Badri,telugu,2000
58GrjiNa1jhmOL0ZWRbNBB,Vakrathunda Mahakaya,S. P. Balasubrahmanyam,Devullu,2001-05-09,https://open.spotify.com/track/58GrjiNa1jhmOL0ZWRbNBB,Devullu,telugu,2000
74VFvLwTnReHu8RFHaahx7,Andhari Bhanduvayya,S. P. Balasubrahmanyam,Devullu,2001-05-09,https://open.spotify.com/track/74VFvLwTnReHu8RFHaahx7,Devullu,telugu,2000
0HfKdr3yjChjL0195O6QNx,Sirula Nosage,"Swarnalatha, Sujatha",Devullu,2001-05-09,https://open.spotify.com/track/0HfKdr3yjChjL0195O6QNx,Devullu,telugu,2000
61mHqu0APiT50jIZnWPrat,Maha Kanaka Durga,S. Janaki,Devullu,2001-05-09,https://open.spotify.com/track/61mHqu0APiT50jIZnWPrat,Devullu,telugu,2000
6LOptg5w9hDnadXxjUnVrR,Ayyappa Devaya,S. P. Balasubrahmanyam,Devullu,2001-05-09,https://open.spotify.com/track/6LOptg5w9hDnadXxjUnVrR,Devullu,telugu,2000
3IREm6qm2qa4J6ntJPJx96,Shanti Nikethana,"K. S. Chithra, Rajesh",Devullu,2001-05-09,https://open.spotify.com/track/3IREm6qm2qa4J6ntJPJx96,Devullu,telugu,2000
1zM1r21GuLpRzxjDvBi8NS,Nee Prema Kore,"K. S. Chithra, Swarnalatha",Devullu,2001-05-09,https://open.spotify.com/track/1zM1r21GuLpRzxjDvBi8NS,Devullu,telugu,2000
5hdUdzVsEpur4FAuZIlGHA,Ramachilaka,Ramana Gogula,Yuvaraju,2000-04-24,https://open.spotify.com/track/5hdUdzVsEpur4FAuZIlGHA,Yuvaraju,telugu,2000
3jvFIASppbMxWwkepFSd8T,Manasemo,"K. S. Chithra, Ramana Gogula",Yuvaraju,2000-04-24,https://open.spotify.com/track/3jvFIASppbMxWwkepFSd8T,Yuvaraju,telugu,2000
6XY7rwPhVaMFQqWZTVUSDL,Olammo,"Ramana Gogula, Nanditha",Yuvaraju,2000-04-24,https://open.spotify.com/track/6XY7rwPhVaMFQqWZTVUSDL,Yuvaraju,telugu,2000
6x06IUVvtOSAfRLRrcoOQM,Nookalisthe,"Shankar Mahadevan, Nanditha",Yuvaraju,2000-04-24,https://open.spotify.com/track/6x06IUVvtOSAfRLRrcoOQM,Yuvaraju,telugu,2000
5w0VYPmdfD6eGhXQQaJZNJ,Twinkle Twinkle,Ramana Gogula,Yuvaraju,2000-04-24,https://open.spotify.com/track/5w0VYPmdfD6eGhXQQaJZNJ,Yuvaraju,telugu,2000
0YgHFvpMMVePcGhMMI9S7H,Haire Hai Debba,"Udit Narayan, K. S. Chithra",Yuvaraju,2000-04-24,https://open.spotify.com/track/0YgHFvpMMVePcGhMMI9S7H,Yuvaraju,telugu,2000
5hrnsnkcUw9f0aZPpBx5MG,Tholivalape,"Hariharan, K. S. Chithra",Yuvaraju,2000-04-24,https://open.spotify.com/track/5hrnsnkcUw9f0aZPpBx5MG,Yuvaraju,telugu,2000
1pLnWUd98CscOGfUJoHGK6,Chandamama,"Sunitha, Anuradha Sriram",Yuvaraju,2000-04-24,https://open.spotify.com/track/1pLnWUd98CscOGfUJoHGK6,Yuvaraju,telugu,2000
